,sth_mvrv,sth_nupl,sth_sopr_24h,sth_supply_in_profit
2014-09-26 00:00:00+00:00,0.7293,-0.371,0.9625357729119356,19813.76404969
2014-09-27 00:00:00+00:00,0.7642,-0.3085,0.9900223310284406,129632.78085609
2014-09-28 00:00:00+00:00,0.7437,-0.3447,0.9901886197304364,68077.26573438
2014-09-29 00:00:00+00:00,0.7446,-0.343,0.9851502615040717,54681.20127551
2014-09-30 00:00:00+00:00,0.8203,-0.219,0.9888296173917422,485999.28875017
2014-10-01 00:00:00+00:00,0.7913,-0.2636,0.996624653422376,342694.78690736
2014-10-02 00:00:00+00:00,0.7655,-0.3062,0.9903988366869864,216934.65200329
2014-10-03 00:00:00+00:00,0.7595,-0.3166,0.9822925636077882,223335.6516159
2014-10-04 00:00:00+00:00,0.7526,-0.3287,0.9928576941968755,120831.6997614
2014-10-05 00:00:00+00:00,0.7061,-0.4162,0.9835447627923769,8762.69198561
2014-10-06 00:00:00+00:00,0.7049,-0.4185,0.9740763664653613,23505.32015781
2014-10-07 00:00:00+00:00,0.7408,-0.3498,0.9802476445621984,256393.92254815
2014-10-08 00:00:00+00:00,0.729,-0.3716,0.9915304383413984,207665.29942865
2014-10-09 00:00:00+00:00,0.7161,-0.3965,0.9900658234732352,80865.09093246
2014-10-10 00:00:00+00:00,0.6878,-0.4538,0.9554263150787619,26605.54339232
2014-10-11 00:00:00+00:00,0.6352,-0.5743,0.9663897925182525,31970.86413606
2014-10-12 00:00:00+00:00,0.633,-0.5796,0.9569672518731176,188941.35643174
2014-10-13 00:00:00+00:00,0.6548,-0.5271,0.914035972798814,372311.57690699
2014-10-14 00:00:00+00:00,0.6665,-0.5002,0.9859822533969943,519517.44166946
2014-10-15 00:00:00+00:00,0.7124,-0.4037,1.0052348540291218,645572.39453185
2014-10-16 00:00:00+00:00,0.7238,-0.3816,0.9894055153545726,606084.1394107
2014-10-17 00:00:00+00:00,0.7263,-0.3769,0.9933793211070016,649136.06454168
2014-10-18 00:00:00+00:00,0.7309,-0.3681,0.9967066805320988,681751.02898937
2014-10-19 00:00:00+00:00,0.7641,-0.3086,0.9982704202710352,1000695.4299758
2014-10-20 00:00:00+00:00,0.7873,-0.2701,1.0203195665659628,1099557.06317132
2014-10-21 00:00:00+00:00,0.811,-0.233,1.0117090556243662,1148383.20550316
2014-10-22 00:00:00+00:00,0.7995,-0.2508,0.9784424452458361,1046020.27302874
2014-10-23 00:00:00+00:00,0.777,-0.287,0.9984752769115083,908992.80269091
2014-10-24 00:00:00+00:00,0.7776,-0.2859,0.9912322873238933,963611.33619234
2014-10-25 00:00:00+00:00,0.7945,-0.2586,1.0004986810974932,1086930.48669823
2014-10-26 00:00:00+00:00,0.7888,-0.2677,0.9991237073720276,995370.16428487
2014-10-27 00:00:00+00:00,0.7757,-0.2891,0.9971150725485589,814907.63124071
2014-10-28 00:00:00+00:00,0.7841,-0.2754,0.9965935984738117,978960.4571482
2014-10-29 00:00:00+00:00,0.7797,-0.2825,0.9950378850504966,854923.19773899
2014-10-30 00:00:00+00:00,0.7302,-0.3694,0.9908882722340959,271717.64570509
2014-10-31 00:00:00+00:00,0.7381,-0.3547,0.9824623283176451,350219.18079824
2014-11-01 00:00:00+00:00,0.7167,-0.3953,0.9879822581630763,250992.40141418
2014-11-02 00:00:00+00:00,0.7319,-0.3663,0.9947818338919062,340351.29890399
2014-11-03 00:00:00+00:00,0.73,-0.3697,0.9903007513685819,282858.87097127
2014-11-04 00:00:00+00:00,0.741,-0.3495,0.9939824278767584,459658.31250143
2014-11-05 00:00:00+00:00,0.6997,-0.4292,0.9820857388977963,158396.79058736
2014-11-06 00:00:00+00:00,0.7263,-0.3769,0.9919617816901828,363249.86494384
2014-11-07 00:00:00+00:00,0.7131,-0.4022,0.9848636040526798,217888.28832762
2014-11-08 00:00:00+00:00,0.6877,-0.454,0.9840482064255086,113134.06007315
2014-11-09 00:00:00+00:00,0.6918,-0.4454,0.9870195794724751,150679.76000507
2014-11-10 00:00:00+00:00,0.6959,-0.437,0.9909345647102121,145993.04939546
2014-11-11 00:00:00+00:00,0.7048,-0.4188,0.9840119533762456,291479.00625848
2014-11-12 00:00:00+00:00,0.7294,-0.371,0.9947063945150121,504897.70678007
2014-11-13 00:00:00+00:00,0.757,-0.3209,0.9975958189871811,881168.50489559
2014-11-14 00:00:00+00:00,0.7496,-0.3341,0.9909778465542733,717606.39276974
2014-11-15 00:00:00+00:00,0.7658,-0.3058,0.997322476500182,837033.40059819
2014-11-16 00:00:00+00:00,0.8312,-0.203,1.0011058769326846,1267547.30937771
2014-11-17 00:00:00+00:00,0.8336,-0.1996,1.0044534557915374,1243554.2106412
2014-11-18 00:00:00+00:00,0.8382,-0.1929,0.9976141968003374,1271509.18989611
2014-11-19 00:00:00+00:00,0.9572,-0.0446,1.0154494040858875,1962020.0768437
2014-11-20 00:00:00+00:00,0.9359,-0.0685,1.0274653178571873,1795960.98640049
2014-11-21 00:00:00+00:00,0.8947,-0.1176,0.9943527984472809,1481421.39510637
2014-11-22 00:00:00+00:00,0.8488,-0.1781,0.9978142259232897,1054844.71843232
2014-11-23 00:00:00+00:00,0.8788,-0.1378,0.998717761059351,1364856.98114499
2014-11-24 00:00:00+00:00,0.8765,-0.1409,0.9950745317042116,1288026.24510209
2014-11-25 00:00:00+00:00,0.8486,-0.1783,0.9933061158897358,911658.08104111
2014-11-26 00:00:00+00:00,0.8586,-0.1647,0.9975577850760471,1061763.50084664
2014-11-27 00:00:00+00:00,0.813,-0.2299,0.9881456839854801,582538.12107583
2014-11-28 00:00:00+00:00,0.8059,-0.2408,0.9929801303738615,508058.09363932
2014-11-29 00:00:00+00:00,0.8136,-0.2291,0.997286719235941,561668.65826613
2014-11-30 00:00:00+00:00,0.8466,-0.1811,0.9971579524342477,1027768.65039891
2014-12-01 00:00:00+00:00,0.8718,-0.147,1.0036781256218605,1204836.92077447
2014-12-02 00:00:00+00:00,0.8673,-0.153,1.001817333662829,1060431.63328419
2014-12-03 00:00:00+00:00,0.8479,-0.1794,0.9945136880996901,880121.3198978
2014-12-04 00:00:00+00:00,0.8585,-0.1647,0.997866990337337,952585.56530874
2014-12-05 00:00:00+00:00,0.886,-0.1286,0.9931052706031638,1443499.27636345
2014-12-06 00:00:00+00:00,0.887,-0.1273,0.9995295348597675,1421094.20138475
2014-12-07 00:00:00+00:00,0.8918,-0.1212,0.9999706882145035,1476687.2183308
2014-12-08 00:00:00+00:00,0.8948,-0.1176,0.9989778143245263,1432060.50425859
2014-12-09 00:00:00+00:00,0.9019,-0.1087,0.9933819811128157,1457899.06050829
2014-12-10 00:00:00+00:00,0.8934,-0.1193,0.9990453808418325,1077207.41904441
2014-12-11 00:00:00+00:00,0.8787,-0.138,0.9942308462103436,700715.83887403
2014-12-12 00:00:00+00:00,0.8983,-0.1132,0.9981214489658243,1282157.3027432
2014-12-13 00:00:00+00:00,0.9003,-0.1107,0.9992831363336597,1305277.0558207
2014-12-14 00:00:00+00:00,0.9048,-0.1051,0.9989041958766661,1444041.91305617
2014-12-15 00:00:00+00:00,0.8782,-0.1387,0.9973062259574772,592714.13989788
2014-12-16 00:00:00+00:00,0.8556,-0.1687,0.98760356822172,415337.03630856
2014-12-17 00:00:00+00:00,0.851,-0.175,0.9794490442038991,304987.18419093
2014-12-18 00:00:00+00:00,0.8575,-0.1661,0.9946972370675929,353850.70915381
2014-12-19 00:00:00+00:00,0.8668,-0.1536,0.9972233196967467,488293.79247253
2014-12-20 00:00:00+00:00,0.8659,-0.1549,0.9946996094269029,509427.32389243
2014-12-21 00:00:00+00:00,0.8842,-0.131,0.9988773453105523,1041088.0729531
2014-12-22 00:00:00+00:00,0.8595,-0.1634,0.9958576358109406,309989.1944114
2014-12-23 00:00:00+00:00,0.8228,-0.2153,0.9916143068678542,116017.81778644
2014-12-24 00:00:00+00:00,0.8026,-0.2459,0.9878820614328101,90184.10761348
2014-12-25 00:00:00+00:00,0.785,-0.2738,0.9856034943678885,80727.30048394
2014-12-26 00:00:00+00:00,0.8067,-0.2396,0.9839646517804373,308102.17352074
