date,regime,final_score,target_exposure,transition_occurred,close,indicator_scores,pca_components,posteriors
2020-02-13 00:00:00+00:00,BULL,0.926726925992064,1.333807453936816,False,10229.63,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.6383645239693676, 'TrendStrengthIndex': 1.0}","{'PC1': 1.772282872735708, 'PC2': 0.07957129944352963, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 1.000455272610655e-05, 'SIDEWAYS': 8.252280663454618e-05, 'BULL': 0.9999074726410268, 'sth_nupl': 0.155, 'sth_mvrv': 1.1834}"
2020-02-14 00:00:00+00:00,BULL,0.9191075676365664,1.3500401140335274,False,10344.36,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.6007595739485747, 'TrendStrengthIndex': 1.0}","{'PC1': 1.6803971962900468, 'PC2': 0.24368519590915869, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 5.780124011304272e-07, 'SIDEWAYS': 7.236004360447106e-05, 'BULL': 0.9999270619435457, 'sth_nupl': 0.1612, 'sth_mvrv': 1.1923}"
2020-02-15 00:00:00+00:00,BULL,0.9008484881215423,1.3093300040146463,False,9904.72,"{'AdvancedStochastic': 1.0, 'RSI-50': 1.0, 'FourierSupertrend': 0.5106428291320305, 'TrendStrengthIndex': 1.0}","{'PC1': 1.4602017685080475, 'PC2': 0.6369687960858468, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 2.52908064286961e-07, 'SIDEWAYS': 0.00024906437104366233, 'BULL': 0.9997506827212514, 'sth_nupl': 0.1497, 'sth_mvrv': 1.1761}"
2020-02-16 00:00:00+00:00,BULL,0.8710213965396031,1.2860926834814925,False,9917.27,"{'AdvancedStochastic': 0.92, 'RSI-50': 1.0, 'FourierSupertrend': 0.46947333870886576, 'TrendStrengthIndex': 1.0}","{'PC1': 1.3057362879042957, 'PC2': 0.8486072127562492, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 2.8898256348837613e-07, 'SIDEWAYS': 0.00011824467481377393, 'BULL': 0.9998814663429629, 'sth_nupl': 0.1578, 'sth_mvrv': 1.1875}"
2020-02-17 00:00:00+00:00,BULL,0.7079923600639701,1.2355893508388656,False,9706.0,"{'AdvancedStochastic': 0.36, 'RSI-50': 1.0, 'FourierSupertrend': 0.40713600858951093, 'TrendStrengthIndex': 1.0}","{'PC1': 0.7763280811142653, 'PC2': 1.3444352428023902, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 3.874725524898488e-07, 'SIDEWAYS': 0.00015444189856520424, 'BULL': 0.9998451706289239, 'sth_nupl': 0.1194, 'sth_mvrv': 1.1357}"
2020-02-18 00:00:00+00:00,BULL,0.7413840914918832,1.2170639943530217,False,10164.71,"{'AdvancedStochastic': 0.44, 'RSI-50': 1.0, 'FourierSupertrend': 0.46589859504460795, 'TrendStrengthIndex': 1.0}","{'PC1': 0.9737813473359674, 'PC2': 1.0560177973313127, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 6.156759646660045e-08, 'SIDEWAYS': 0.00012746349381049022, 'BULL': 0.9998724749386763, 'sth_nupl': 0.1166, 'sth_mvrv': 1.132}"
2020-02-19 00:00:00+00:00,BULL,0.5951096842141077,1.1237571048703692,False,9593.79,"{'AdvancedStochastic': -0.04, 'RSI-50': 1.0, 'FourierSupertrend': 0.3802122917631732, 'TrendStrengthIndex': 1.0}","{'PC1': 0.4411912192388497, 'PC2': 1.6217760990604642, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 3.7450292089318076e-07, 'SIDEWAYS': 0.0006302244843389864, 'BULL': 0.9993694010128292, 'sth_nupl': 0.0978, 'sth_mvrv': 1.1084}"
2020-02-20 00:00:00+00:00,BULL,0.47750187369662167,1.0433401466571703,False,9596.42,"{'AdvancedStochastic': -0.44, 'RSI-50': 1.0, 'FourierSupertrend': 0.32996791659172664, 'TrendStrengthIndex': 1.0}","{'PC1': 0.049071580733930524, 'PC2': 2.0008919638491522, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 1.6037587994384701e-06, 'SIDEWAYS': 0.00021148111919871678, 'BULL': 0.9997869151223313, 'sth_nupl': 0.1401, 'sth_mvrv': 1.163}"
2020-02-21 00:00:00+00:00,BULL,0.45312335397764336,0.9877484083036989,False,9677.05,"{'AdvancedStochastic': -0.52, 'RSI-50': 1.0, 'FourierSupertrend': 0.31568957146342935, 'TrendStrengthIndex': 1.0}","{'PC1': -0.03968683007046759, 'PC2': 2.0951732072664626, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 9.974804653809808e-07, 'SIDEWAYS': 0.00018777880665180535, 'BULL': 0.9998112237124875, 'sth_nupl': 0.093, 'sth_mvrv': 1.1026}"
2020-02-22 00:00:00+00:00,BULL,0.42844438432832893,0.9455777979392299,False,9650.86,"{'AdvancedStochastic': -0.6, 'RSI-50': 1.0, 'FourierSupertrend': 0.2999283712065389, 'TrendStrengthIndex': 1.0}","{'PC1': -0.13206851777023054, 'PC2': 2.1959258629024543, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 8.132085411930809e-07, 'SIDEWAYS': 0.00019701229222605067, 'BULL': 0.9998021744991024, 'sth_nupl': 0.0897, 'sth_mvrv': 1.0986}"
2020-02-23 00:00:00+00:00,BULL,0.39713394153886133,0.9045096461686869,False,9936.4,"{'AdvancedStochastic': -0.76, 'RSI-50': 1.0, 'FourierSupertrend': 0.35747845850110116, 'TrendStrengthIndex': 1.0}","{'PC1': -0.09918805132334907, 'PC2': 2.0087048752687964, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 2.1120700490862189e-07, 'SIDEWAYS': 0.0002064722306432475, 'BULL': 0.9997933165620717, 'sth_nupl': 0.0939, 'sth_mvrv': 1.1037}"
2020-02-24 00:00:00+00:00,BULL,0.39137261264770673,0.8675974799664778,False,9656.13,"{'AdvancedStochastic': -0.76, 'RSI-50': 1.0, 'FourierSupertrend': 0.3290437170311846, 'TrendStrengthIndex': 1.0}","{'PC1': -0.16866681550402496, 'PC2': 2.132798544188461, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 4.7636180018708007e-07, 'SIDEWAYS': 0.0003473634887603546, 'BULL': 0.9996521601495195, 'sth_nupl': 0.0926, 'sth_mvrv': 1.1021}"
2020-02-25 00:00:00+00:00,BULL,0.3497590267426468,0.825150579218921,False,9315.84,"{'AdvancedStochastic': -0.84, 'RSI-50': 1.0, 'FourierSupertrend': 0.22970259203441867, 'TrendStrengthIndex': 1.0}","{'PC1': -0.465271562076477, 'PC2': 2.59830709254019, 'pca_variance_explained': 85.48743535281737}","{'BEAR': 2.231225336869737e-06, 'SIDEWAYS': 0.0005511315237937007, 'BULL': 0.9994466372509473, 'sth_nupl': 0.118, 'sth_mvrv': 1.1338}"
